account,sector,year_established,revenue,employees,office_location,subsidiary_of,Table,Field,Description,product,series,sales_price,opportunity_id,sales_agent,deal_stage,engage_date,close_date,close_value,manager,regional_office
Zumgoity,,,,,,,,,,GTX Plus Pro,,,3MNZF5ZK,Cecily Lampkin,Won,2017-02-12,2017-06-03,5148.0,,
Ganjaflex,,,,,,,,,,GTXPro,,,52SANIGE,Corliss Cosme,Won,2017-02-12,2017-05-08,4833.0,,
Mathtouch,,,,,,,,,,GTXPro,,,73SY9EU8,Daniell Hammack,Won,2017-02-12,2017-05-31,4664.0,,
Plussunin,,,,,,,,,,GTX Basic,,,HVM656P3,Donn Cantrell,Won,2017-02-12,2017-05-12,475.0,,
,,,,,,,,,,GTX Plus Basic,,,LXM6CTMS,Hayden Neloms,Engaging,2017-02-12,,,,
Labdrill,,,,,,,,,,MG Advanced,,,U2SW8DT1,Hayden Neloms,Won,2017-02-12,2017-06-13,3807.0,,
Faxquote,,,,,,,,,,GTX Basic,,,VXMFL425,James Ascencio,Engaging,2017-02-12,,,,
Stanredtax,,,,,,,,,,GTX Basic,,,XMH4CH4Q,Jonathan Berthelot,Won,2017-02-12,2017-05-21,518.0,,
Dalttechnology,,,,,,,,,,GTX Plus Basic,,,UNLIS3RY,Kami Bicknell,Won,2017-02-12,2017-05-09,1050.0,,
Y-corporation,,,,,,,,,,GTXPro,,,GVFQXZLL,Maureen Marcano,Won,2017-02-12,2017-05-24,4596.0,,
Cheers,,,,,,,,,,MG Advanced,,,E887HZT1,Rosalina Dieter,Engaging,2017-02-12,,,,
,,,,,,,,,,MG Special,,,CGJ7NRZH,Violet Mclelland,Engaging,2017-02-12,,,,
Y-corporation,,,,,,,,,,GTX Basic,,,NRYC7T45,Zane Levy,Won,2017-02-12,2017-05-05,618.0,,
Singletechno,,,,,,,,,,MG Advanced,,,ZVR3I3F0,Zane Levy,Won,2017-02-12,2017-05-02,3460.0,,
Ontomedia,,,,,,,,,,GTX Plus Pro,,,2TKQ8B78,Daniell Hammack,Won,2017-02-13,2017-05-21,5751.0,,
Konmatfix,,,,,,,,,,GTX Plus Pro,,,OZ5O64KJ,Darcel Schlecht,Won,2017-02-13,2017-05-28,5639.0,,
Bioplex,,,,,,,,,,GTX Plus Pro,,,WXCW16QT,Donn Cantrell,Lost,2017-02-13,2017-06-02,0.0,,
Zencorporation,,,,,,,,,,GTX Plus Pro,,,UCXCUP1U,Garret Kinder,Won,2017-02-13,2017-05-18,4766.0,,
Opentech,,,,,,,,,,MG Advanced,,,SWJ9OOZU,Hayden Neloms,Engaging,2017-02-13,,,,
Scotfind,,,,,,,,,,GTX Plus Basic,,,9ERRIZKG,Kami Bicknell,Lost,2017-02-13,2017-05-09,0.0,,
Singletechno,,,,,,,,,,GTX Basic,,,CKLYIFLY,Kary Hendrixson,Won,2017-02-13,2017-05-11,589.0,,
Finhigh,,,,,,,,,,GTX Plus Pro,,,6VDLCBYU,Marty Freudenburg,Lost,2017-02-13,2017-05-31,0.0,,
Hottechi,,,,,,,,,,GTX Basic,,,XYBPUC2H,Moses Frase,Lost,2017-02-13,2017-05-16,0.0,,
Faxquote,,,,,,,,,,GTXPro,,,B06D1F9M,Vicki Laflamme,Engaging,2017-02-13,,,,
,,,,,,,,,,GTX Basic,,,OZ761BUJ,Violet Mclelland,Engaging,2017-02-13,,,,
Massive Dynamic,,,,,,,,,,GTX Basic,,,I3MC9XZC,Violet Mclelland,Won,2017-02-13,2017-05-18,533.0,,
Conecom,,,,,,,,,,GTX Basic,,,L5T2HKKO,Anna Snelling,Lost,2017-02-14,2017-05-05,0.0,,
Domzoom,,,,,,,,,,MG Special,,,6CEEGQ8I,Anna Snelling,Won,2017-02-14,2017-05-30,63.0,,
Bioplex,,,,,,,,,,GTXPro,,,P2LY9NFN,Cassey Cress,Won,2017-02-14,2017-05-08,4942.0,,
dambase,,,,,,,,,,GTXPro,,,94GCWI08,Darcel Schlecht,Won,2017-02-14,2017-06-12,4650.0,,
Konmatfix,,,,,,,,,,GTXPro,,,GUMQTC3J,Darcel Schlecht,Won,2017-02-14,2017-06-16,4829.0,,
Betasoloin,,,,,,,,,,GTX Plus Basic,,,U64RT0UF,Donn Cantrell,Won,2017-02-14,2017-05-29,987.0,,
Gekko & Co,,,,,,,,,,GTX Plus Pro,,,RWGSCFHR,Donn Cantrell,Won,2017-02-14,2017-03-02,4246.0,,
Iselectrics,,,,,,,,,,GTX Plus Pro,,,GEBVQH17,Donn Cantrell,Won,2017-02-14,2017-05-06,5702.0,,
Silis,,,,,,,,,,MG Advanced,,,3OVJXUSB,Donn Cantrell,Won,2017-02-14,2017-06-14,2981.0,,
Hottechi,,,,,,,,,,MG Advanced,,,KQPY8LLI,Gladys Colclough,Lost,2017-02-14,2017-05-13,0.0,,
Konex,,,,,,,,,,MG Advanced,,,DC7COE9W,Hayden Neloms,Won,2017-02-14,2017-05-01,2873.0,,
Treequote,,,,,,,,,,MG Advanced,,,3LED0EK3,Jonathan Berthelot,Lost,2017-02-14,2017-05-11,0.0,,
Vehement Capital Partners,,,,,,,,,,GTK 500,,,SCS5H8V1,Markita Hansen,Engaging,2017-02-14,,,,
Bioholding,,,,,,,,,,MG Advanced,,,81MXE1H7,Markita Hansen,Engaging,2017-02-14,,,,
The New York Inquirer,,,,,,,,,,MG Special,,,G4MKT3AE,Rosie Papadopoulos,Lost,2017-02-14,2017-05-07,0.0,,
Gogozoom,,,,,,,,,,GTX Basic,,,GQ125FX0,Versie Hillebrand,Won,2017-02-14,2017-06-03,528.0,,
Scottech,,,,,,,,,,GTX Plus Basic,,,JO52QXJ0,Versie Hillebrand,Won,2017-02-14,2017-06-18,1199.0,,
Zoomit,,,,,,,,,,GTXPro,,,PQ2VF873,Zane Levy,Lost,2017-02-14,2017-03-01,0.0,,
Streethex,,,,,,,,,,GTX Basic,,,N6H58J55,Anna Snelling,Lost,2017-02-15,2017-05-13,0.0,,
,,,,,,,,,,GTX Plus Pro,,,W24IDMVV,Corliss Cosme,Engaging,2017-02-15,,,,
Streethex,,,,,,,,,,GTX Plus Pro,,,WR6Q2X53,Darcel Schlecht,Lost,2017-02-15,2017-05-08,0.0,,
Bluth Company,,,,,,,,,,GTX Basic,,,8O1WNJBA,Garret Kinder,Lost,2017-02-15,2017-03-23,0.0,,
Ontomedia,,,,,,,,,,GTX Plus Pro,,,X1LAD57Y,Garret Kinder,Lost,2017-02-15,2017-03-04,0.0,,
Ganjaflex,,,,,,,,,,MG Advanced,,,E2NXQUWO,Garret Kinder,Won,2017-02-15,2017-03-06,3507.0,,
Fasehatice,,,,,,,,,,GTX Basic,,,MEZLJGRB,James Ascencio,Lost,2017-02-15,2017-05-20,0.0,,
Green-Plus,,,,,,,,,,GTXPro,,,M1QKPX6R,James Ascencio,Won,2017-02-15,2017-05-21,4542.0,,
Globex Corporation,,,,,,,,,,GTX Basic,,,X6LO8WPD,Jonathan Berthelot,Won,2017-02-15,2017-05-28,505.0,,
,,,,,,,,,,GTX Plus Pro,,,JQA8H6M5,Kami Bicknell,Engaging,2017-02-15,,,,
,,,,,,,,,,GTX Basic,,,92G1TO7L,Kary Hendrixson,Engaging,2017-02-15,,,,
Cheers,,,,,,,,,,GTX Plus Basic,,,S8WV5MUC,Kary Hendrixson,Lost,2017-02-15,2017-05-07,0.0,,
,,,,,,,,,,GTX Plus Basic,,,FW2XJG9S,Markita Hansen,Engaging,2017-02-15,,,,
Sonron,,,,,,,,,,GTXPro,,,R7JI95HZ,Markita Hansen,Lost,2017-02-15,2017-05-31,0.0,,
,,,,,,,,,,GTX Basic,,,SVCKI631,Maureen Marcano,Engaging,2017-02-15,,,,
,,,,,,,,,,MG Advanced,,,VJ5QGP8Z,Maureen Marcano,Engaging,2017-02-15,,,,
Genco Pura Olive Oil Company,,,,,,,,,,GTX Basic,,,CVKLHZEO,Moses Frase,Won,2017-02-15,2017-05-13,455.0,,
Initech,,,,,,,,,,GTX Basic,,,8KJZJFJ1,Reed Clapper,Won,2017-02-15,2017-03-03,537.0,,
Opentech,,,,,,,,,,GTX Plus Basic,,,W560QFJL,Reed Clapper,Won,2017-02-15,2017-03-04,1090.0,,
Stanredtax,,,,,,,,,,MG Advanced,,,TA3PW6ZQ,Versie Hillebrand,Lost,2017-02-15,2017-05-24,0.0,,
Genco Pura Olive Oil Company,,,,,,,,,,MG Special,,,2DVE0XCM,Versie Hillebrand,Won,2017-02-15,2017-03-17,60.0,,
Faxquote,,,,,,,,,,GTX Plus Basic,,,L3UMWAX7,Vicki Laflamme,Lost,2017-02-15,2017-05-17,0.0,,
,,,,,,,,,,GTX Basic,,,R2W96FGX,Zane Levy,Engaging,2017-02-15,,,,
Plussunin,,,,,,,,,,GTX Plus Pro,,,VOTOT8MK,Cassey Cress,Won,2017-02-16,2017-06-15,6509.0,,
Ron-tech,,,,,,,,,,GTX Plus Basic,,,Y3ULGUD8,Cecily Lampkin,Won,2017-02-16,2017-05-18,1079.0,,
Silis,,,,,,,,,,GTX Plus Basic,,,7350YGG4,Corliss Cosme,Won,2017-02-16,2017-05-29,1111.0,,
Mathtouch,,,,,,,,,,GTXPro,,,2J16RN99,Donn Cantrell,Lost,2017-02-16,2017-05-21,0.0,,
Donquadtech,,,,,,,,,,GTX Basic,,,BRQRF65L,Donn Cantrell,Won,2017-02-16,2017-03-02,462.0,,
Xx-zobam,,,,,,,,,,GTX Basic,,,LB6XW39X,Donn Cantrell,Won,2017-02-16,2017-03-04,555.0,,
Conecom,,,,,,,,,,GTX Plus Pro,,,WS9CXY7E,Gladys Colclough,Won,2017-02-16,2017-03-01,6719.0,,
Faxquote,,,,,,,,,,MG Advanced,,,CK0MDHHM,Hayden Neloms,Won,2017-02-16,2017-06-02,3281.0,,
,,,,,,,,,,GTX Plus Basic,,,KM1D04JS,James Ascencio,Engaging,2017-02-16,,,,
Kan-code,,,,,,,,,,MG Advanced,,,RNUH1SI8,James Ascencio,Won,2017-02-16,2017-05-07,3398.0,,
Labdrill,,,,,,,,,,GTX Basic,,,BNY8MJ6L,Kary Hendrixson,Engaging,2017-02-16,,,,
,,,,,,,,,,GTXPro,,,INBGKE14,Kary Hendrixson,Engaging,2017-02-16,,,,
Hottechi,,,,,,,,,,GTXPro,,,D54HETSI,Kary Hendrixson,Lost,2017-02-16,2017-05-14,0.0,,
Domzoom,,,,,,,,,,GTX Basic,,,JOQQZ5RH,Marty Freudenburg,Won,2017-02-16,2017-03-01,608.0,,
Globex Corporation,,,,,,,,,,GTXPro,,,90V75MDV,Niesha Huffines,Lost,2017-02-16,2017-05-17,0.0,,
Donquadtech,,,,,,,,,,GTX Plus Basic,,,LIIBOUUQ,Reed Clapper,Won,2017-02-16,2017-05-30,1187.0,,
,,,,,,,,,,GTX Basic,,,5KK2SSSB,Rosie Papadopoulos,Engaging,2017-02-16,,,,
Initech,,,,,,,,,,GTX Plus Pro,,,UDYSM42B,Violet Mclelland,Won,2017-02-16,2017-06-22,5855.0,,
,,,,,,,,,,GTX Basic,,,V3HVIJLL,Zane Levy,Engaging,2017-02-16,,,,
Cancity,,,,,,,,,,GTXPro,,,F835LA4P,Darcel Schlecht,Won,2017-02-17,2017-05-10,5068.0,,
Gekko & Co,,,,,,,,,,GTX Plus Basic,,,75Q82XU7,Donn Cantrell,Lost,2017-02-17,2017-06-13,0.0,,
Betasoloin,,,,,,,,,,MG Special,,,AMNKCM1H,Elease Gluck,Engaging,2017-02-17,,,,
J-Texon,,,,,,,,,,GTX Plus Pro,,,2U6QQHCC,James Ascencio,Won,2017-02-17,2017-06-19,4066.0,,
Isdom,,,,,,,,,,GTXPro,,,MMKMJ0WC,Jonathan Berthelot,Won,2017-02-17,2017-06-07,4494.0,,
Finjob,,,,,,,,,,GTX Basic,,,CZIXINO2,Kami Bicknell,Lost,2017-02-17,2017-05-04,0.0,,
Nam-zim,,,,,,,,,,GTXPro,,,HV7Y6184,Kami Bicknell,Lost,2017-02-17,2017-05-28,0.0,,
Plexzap,,,,,,,,,,GTX Basic,,,KIHC1QJQ,Kami Bicknell,Won,2017-02-17,2017-05-09,540.0,,
Conecom,,,,,,,,,,MG Advanced,,,VBWQO6BM,Niesha Huffines,Lost,2017-02-17,2017-05-14,0.0,,
Domzoom,,,,,,,,,,MG Special,,,LTZCN1RA,Versie Hillebrand,Won,2017-02-17,2017-05-19,54.0,,
,,,,,,,,,,MG Advanced,,,84LN84VM,Vicki Laflamme,Engaging,2017-02-17,,,,
Lexiqvolax,,,,,,,,,,GTXPro,,,YO32O3T9,Zane Levy,Lost,2017-02-17,2017-05-28,0.0,,
,,,,,,,,,,MG Special,,,MU7JWTP6,Cassey Cress,Engaging,2017-02-18,,,,
Zathunicon,,,,,,,,,,MG Special,,,8638OV6W,Corliss Cosme,Lost,2017-02-18,2017-05-26,0.0,,
Hottechi,,,,,,,,,,GTXPro,,,TTJXSO57,Darcel Schlecht,Lost,2017-02-18,2017-05-20,0.0,,
Betasoloin,,,,,,,,,,MG Advanced,,,K4VP5HK4,Donn Cantrell,Won,2017-02-18,2017-05-08,3602.0,,
Betatech,,,,,,,,,,MG Advanced,,,10R46CSK,Lajuana Vencill,Won,2017-02-18,2017-05-07,2904.0,,
Sonron,,,,,,,,,,GTX Basic,,,VBA34LWX,Markita Hansen,Won,2017-02-18,2017-05-31,571.0,,
Genco Pura Olive Oil Company,,,,,,,,,,MG Special,,,DLJN7WG0,Marty Freudenburg,Lost,2017-02-18,2017-05-30,0.0,,
Zathunicon,,,,,,,,,,GTX Basic,,,FJCCTOPN,Reed Clapper,Won,2017-02-18,2017-06-18,492.0,,
Zathunicon,,,,,,,,,,GTXPro,,,LR6USOHL,Reed Clapper,Won,2017-02-18,2017-05-27,4545.0,,
Cancity,,,,,,,,,,GTX Plus Pro,,,5VAV2TUY,Versie Hillebrand,Won,2017-02-18,2017-03-25,5614.0,,
Betatech,,,,,,,,,,GTX Plus Pro,,,HTD2ME9C,Anna Snelling,Won,2017-02-19,2017-06-12,5370.0,,
Zencorporation,,,,,,,,,,GTX Basic,,,GHUCMUPL,Boris Faz,Won,2017-02-19,2017-05-02,550.0,,
Yearin,,,,,,,,,,GTX Plus Basic,,,1LKY3B4X,Cassey Cress,Won,2017-02-19,2017-03-02,1011.0,,
Sumace,,,,,,,,,,MG Special,,,7Y5E0RDL,Corliss Cosme,Won,2017-02-19,2017-06-18,56.0,,
,,,,,,,,,,MG Special,,,9HRMW8SL,Daniell Hammack,Engaging,2017-02-19,,,,
Codehow,,,,,,,,,,GTX Plus Basic,,,BEQIZZ7W,Darcel Schlecht,Won,2017-02-19,2017-03-04,1217.0,,
Bubba Gump,,,,,,,,,,GTX Basic,,,44F8ZE41,Donn Cantrell,Lost,2017-02-19,2017-05-19,0.0,,
Kan-code,,,,,,,,,,MG Advanced,,,YJIH415V,Donn Cantrell,Won,2017-02-19,2017-05-10,3222.0,,
Bioplex,,,,,,,,,,GTX Basic,,,K3DQJ796,Garret Kinder,Lost,2017-02-19,2017-05-14,0.0,,
Massive Dynamic,,,,,,,,,,GTX Basic,,,6QF3D2RI,Garret Kinder,Lost,2017-02-19,2017-05-05,0.0,,
Opentech,,,,,,,,,,MG Advanced,,,G9565UWZ,Garret Kinder,Won,2017-02-19,2017-03-01,3348.0,,
Conecom,,,,,,,,,,GTX Basic,,,RFKIN7FG,Jonathan Berthelot,Lost,2017-02-19,2017-05-25,0.0,,
Faxquote,,,,,,,,,,GTX Basic,,,WJQ8VD51,Kami Bicknell,Engaging,2017-02-19,,,,
Newex,,,,,,,,,,GTXPro,,,2BWZLXZ8,Kami Bicknell,Won,2017-02-19,2017-03-05,4216.0,,
,,,,,,,,,,GTX Plus Basic,,,1WHXI2RW,Markita Hansen,Engaging,2017-02-19,,,,
,,,,,,,,,,MG Advanced,,,G5JP0G7Q,Markita Hansen,Engaging,2017-02-19,,,,
Stanredtax,,,,,,,,,,GTX Basic,,,2QHRL8CW,Moses Frase,Won,2017-02-19,2017-05-28,404.0,,
Initech,,,,,,,,,,GTX Plus Pro,,,RFYAI0WA,Rosie Papadopoulos,Lost,2017-02-19,2017-06-08,0.0,,
Zathunicon,,,,,,,,,,MG Special,,,WH0DJCGL,Rosie Papadopoulos,Lost,2017-02-19,2017-06-14,0.0,,
Sumace,,,,,,,,,,GTXPro,,,LCW83256,Rosie Papadopoulos,Won,2017-02-19,2017-03-04,5260.0,,
,,,,,,,,,,MG Advanced,,,RVH3UUKY,Vicki Laflamme,Engaging,2017-02-19,,,,
Kan-code,,,,,,,,,,GTX Plus Basic,,,IHFM8QXN,Vicki Laflamme,Lost,2017-02-19,2017-03-07,0.0,,
Donquadtech,,,,,,,,,,MG Special,,,QCY951QA,Violet Mclelland,Won,2017-02-19,2017-05-06,51.0,,
,,,,,,,,,,GTX Basic,,,CG9VXPV1,Zane Levy,Engaging,2017-02-19,,,,
Scotfind,,,,,,,,,,GTX Basic,,,09BVA55J,Zane Levy,Won,2017-02-19,2017-06-25,598.0,,
Konex,,,,,,,,,,GTX Plus Basic,,,2R9HXKXT,Boris Faz,Lost,2017-02-20,2017-05-25,0.0,,
Zathunicon,,,,,,,,,,MG Special,,,JLK8KCNN,Boris Faz,Won,2017-02-20,2017-05-24,42.0,,
Vehement Capital Partners,,,,,,,,,,GTXPro,,,SZQUBIMH,Cassey Cress,Won,2017-02-20,2017-06-07,4689.0,,
Statholdings,,,,,,,,,,GTX Plus Pro,,,8ZYVKQ27,Cecily Lampkin,Won,2017-02-20,2017-06-26,5154.0,,
Gogozoom,,,,,,,,,,GTXPro,,,25A51PWG,Darcel Schlecht,Lost,2017-02-20,2017-05-16,0.0,,
Zencorporation,,,,,,,,,,GTXPro,,,4B4XCPHT,Donn Cantrell,Won,2017-02-20,2017-05-05,5010.0,,
Finhigh,,,,,,,,,,MG Advanced,,,5JFOA4XC,Gladys Colclough,Won,2017-02-20,2017-06-14,3215.0,,
Nam-zim,,,,,,,,,,GTX Basic,,,N5FOEJZ9,Kami Bicknell,Lost,2017-02-20,2017-06-03,0.0,,
Donquadtech,,,,,,,,,,GTX Plus Basic,,,CYWZJ2AI,Kary Hendrixson,Engaging,2017-02-20,,,,
Hatfan,,,,,,,,,,GTXPro,,,QTNPGKJ7,Kary Hendrixson,Won,2017-02-20,2017-06-26,3169.0,,
Scotfind,,,,,,,,,,GTX Plus Basic,,,EBRWSMI0,Markita Hansen,Lost,2017-02-20,2017-06-27,0.0,,
Funholding,,,,,,,,,,GTX Plus Pro,,,4PKHDQOQ,Marty Freudenburg,Won,2017-02-20,2017-06-03,5015.0,,
Dalttechnology,,,,,,,,,,GTX Basic,,,3Y9SB2QK,Maureen Marcano,Won,2017-02-20,2017-03-01,571.0,,
Bubba Gump,,,,,,,,,,GTXPro,,,5MZ0O77T,Reed Clapper,Won,2017-02-20,2017-05-16,4839.0,,
Massive Dynamic,,,,,,,,,,MG Advanced,,,2EILEDKF,Reed Clapper,Won,2017-02-20,2017-03-05,3315.0,,
Warephase,,,,,,,,,,MG Special,,,J4NX9TK5,Versie Hillebrand,Won,2017-02-20,2017-05-24,60.0,,
,,,,,,,,,,GTXPro,,,Y7N97FW8,Vicki Laflamme,Engaging,2017-02-20,,,,
,,,,,,,,,,MG Advanced,,,0IO43YMS,Wilburn Farren,Engaging,2017-02-20,,,,
Treequote,,,,,,,,,,GTX Plus Basic,,,5ITSLO0E,Anna Snelling,Won,2017-02-21,2017-03-04,999.0,,
,,,,,,,,,,GTXPro,,,6HG76L6U,Boris Faz,Engaging,2017-02-21,,,,
Statholdings,,,,,,,,,,GTX Basic,,,QGW0TI1U,Darcel Schlecht,Lost,2017-02-21,2017-06-11,0.0,,
Finhigh,,,,,,,,,,GTX Plus Pro,,,WJC5J533,Lajuana Vencill,Won,2017-02-21,2017-06-04,5401.0,,
Newex,,,,,,,,,,MG Advanced,,,9SLINQY5,Markita Hansen,Engaging,2017-02-21,,,,
,,,,,,,,,,GTX Plus Pro,,,1GIP77EP,Maureen Marcano,Engaging,2017-02-21,,,,
Rundofase,,,,,,,,,,GTX Basic,,,XGLMCTLG,Moses Frase,Won,2017-02-21,2017-06-18,551.0,,
Mathtouch,,,,,,,,,,GTX Plus Pro,,,X6RLT30X,Reed Clapper,Lost,2017-02-21,2017-05-23,0.0,,
Faxquote,,,,,,,,,,GTX Basic,,,IVT0S1N1,Vicki Laflamme,Won,2017-02-21,2017-03-20,600.0,,
Goodsilron,,,,,,,,,,GTXPro,,,NOLCZMV6,Violet Mclelland,Engaging,2017-02-21,,,,
Bioplex,,,,,,,,,,GTX Plus Pro,,,JEPGSQC9,Violet Mclelland,Lost,2017-02-21,2017-05-05,0.0,,
The New York Inquirer,,,,,,,,,,MG Special,,,EEDHCEVZ,Boris Faz,Lost,2017-02-22,2017-05-22,0.0,,
Sumace,,,,,,,,,,GTXPro,,,NHDTSMX2,Cassey Cress,Won,2017-02-22,2017-03-02,4711.0,,
Vehement Capital Partners,,,,,,,,,,MG Advanced,,,E36CR33F,Corliss Cosme,Lost,2017-02-22,2017-06-08,0.0,,
Zencorporation,,,,,,,,,,GTXPro,,,PNL17RE9,Corliss Cosme,Won,2017-02-22,2017-06-28,5133.0,,
Fasehatice,,,,,,,,,,GTX Basic,,,B4SIVH1O,Daniell Hammack,Engaging,2017-02-22,,,,
Sumace,,,,,,,,,,GTX Plus Pro,,,VMEVOJVL,Daniell Hammack,Lost,2017-02-22,2017-05-17,0.0,,
Zathunicon,,,,,,,,,,GTX Plus Pro,,,5EKN0BFN,Daniell Hammack,Won,2017-02-22,2017-05-15,4848.0,,
Mathtouch,,,,,,,,,,GTXPro,,,R4LH95QS,Daniell Hammack,Won,2017-02-22,2017-03-03,4475.0,,
Betatech,,,,,,,,,,GTX Basic,,,52CROFH2,Darcel Schlecht,Lost,2017-02-22,2017-03-05,0.0,,
Genco Pura Olive Oil Company,,,,,,,,,,GTXPro,,,REDGEUCP,Darcel Schlecht,Won,2017-02-22,2017-03-10,3763.0,,
Ron-tech,,,,,,,,,,GTXPro,,,6KT5HAR6,Darcel Schlecht,Won,2017-02-22,2017-03-05,5006.0,,
Toughzap,,,,,,,,,,GTXPro,,,48AJ0X9E,Gladys Colclough,Won,2017-02-22,2017-06-15,4498.0,,
Warephase,,,,,,,,,,GTXPro,,,RA1UBXY9,Gladys Colclough,Won,2017-02-22,2017-03-24,4375.0,,
,,,,,,,,,,MG Advanced,,,ESZY10SI,Hayden Neloms,Engaging,2017-02-22,,,,
J-Texon,,,,,,,,,,GTX Plus Basic,,,WGI2GSKJ,Hayden Neloms,Lost,2017-02-22,2017-05-27,0.0,,
Fasehatice,,,,,,,,,,MG Advanced,,,W4BNO6UL,Hayden Neloms,Won,2017-02-22,2017-06-04,3763.0,,
J-Texon,,,,,,,,,,GTXPro,,,S50A0C2S,Kami Bicknell,Lost,2017-02-22,2017-03-14,0.0,,
Sonron,,,,,,,,,,GTX Plus Pro,,,3H80RIHV,Kami Bicknell,Won,2017-02-22,2017-05-10,5491.0,,
Bioholding,,,,,,,,,,GTX Basic,,,KATNS4R4,Lajuana Vencill,Lost,2017-02-22,2017-05-22,0.0,,
Y-corporation,,,,,,,,,,GTX Plus Pro,,,L5U7OT6O,Markita Hansen,Won,2017-02-22,2017-06-17,5503.0,,
Rangreen,,,,,,,,,,GTX Plus Basic,,,QKVUGRN9,Moses Frase,Lost,2017-02-22,2017-05-30,0.0,,
Statholdings,,,,,,,,,,MG Special,,,FNY6F0KF,Moses Frase,Won,2017-02-22,2017-05-15,58.0,,
Genco Pura Olive Oil Company,,,,,,,,,,GTX Plus Basic,,,1W23LEWK,Niesha Huffines,Won,2017-02-22,2017-05-27,1051.0,,
Conecom,,,,,,,,,,GTX Plus Pro,,,JHJEQ1U3,Niesha Huffines,Won,2017-02-22,2017-03-07,5604.0,,
Xx-zobam,,,,,,,,,,MG Advanced,,,CPJAA632,Reed Clapper,Won,2017-02-22,2017-05-15,3273.0,,
,,,,,,,,,,GTX Basic,,,Y3CYQGPH,Rosalina Dieter,Engaging,2017-02-22,,,,
Rundofase,,,,,,,,,,GTX Basic,,,Q19RWR17,Vicki Laflamme,Engaging,2017-02-22,,,,
Scotfind,,,,,,,,,,GTX Plus Basic,,,GVC0RLQE,Vicki Laflamme,Lost,2017-02-22,2017-05-11,0.0,,
Scotfind,,,,,,,,,,GTX Plus Basic,,,9OLYBVNE,Zane Levy,Won,2017-02-22,2017-06-02,1220.0,,
Singletechno,,,,,,,,,,GTX Plus Pro,,,R8N49PHN,Zane Levy,Won,2017-02-22,2017-03-02,5497.0,,
Conecom,,,,,,,,,,GTX Plus Basic,,,P5EVJUKQ,Anna Snelling,Won,2017-02-23,2017-06-10,1056.0,,
Kan-code,,,,,,,,,,GTX Basic,,,XF4648CO,Boris Faz,Lost,2017-02-23,2017-06-16,0.0,,
Massive Dynamic,,,,,,,,,,GTX Basic,,,24UTFDPK,Cassey Cress,Won,2017-02-23,2017-03-12,572.0,,
Funholding,,,,,,,,,,MG Advanced,,,ERYLM04D,Cecily Lampkin,Won,2017-02-23,2017-05-23,3668.0,,
,,,,,,,,,,GTX Basic,,,6PW6ZQEE,Corliss Cosme,Engaging,2017-02-23,,,,
Kinnamplus,,,,,,,,,,MG Special,,,IQ9W1X36,Corliss Cosme,Won,2017-02-23,2017-03-02,50.0,,
Silis,,,,,,,,,,MG Advanced,,,GSR9PIF0,Daniell Hammack,Won,2017-02-23,2017-05-22,3509.0,,
Gogozoom,,,,,,,,,,GTXPro,,,8477482V,Darcel Schlecht,Won,2017-02-23,2017-06-28,5643.0,,
Dalttechnology,,,,,,,,,,MG Special,,,VFZOL6CB,Elease Gluck,Won,2017-02-23,2017-03-10,47.0,,
Finjob,,,,,,,,,,MG Advanced,,,75ZOJ3O7,Hayden Neloms,Won,2017-02-23,2017-03-08,3312.0,,
Goodsilron,,,,,,,,,,GTX Plus Pro,,,1QQR82TP,James Ascencio,Lost,2017-02-23,2017-06-23,0.0,,
,,,,,,,,,,MG Advanced,,,4E5A84H1,Kami Bicknell,Engaging,2017-02-23,,,,
Labdrill,,,,,,,,,,GTX Basic,,,DR6MQSWL,Kami Bicknell,Won,2017-02-23,2017-03-11,480.0,,
Nam-zim,,,,,,,,,,MG Advanced,,,KAV5TU8X,Kami Bicknell,Won,2017-02-23,2017-05-06,3208.0,,
Y-corporation,,,,,,,,,,GTX Basic,,,UQ86UOWY,Kary Hendrixson,Lost,2017-02-23,2017-05-04,0.0,,
Kan-code,,,,,,,,,,GTX Plus Pro,,,A82DG6R5,Kary Hendrixson,Won,2017-02-23,2017-05-04,5782.0,,
Rangreen,,,,,,,,,,GTX Plus Pro,,,37FKT2ZP,Lajuana Vencill,Won,2017-02-23,2017-05-23,5827.0,,
,,,,,,,,,,GTXPro,,,03VCDZEE,Maureen Marcano,Engaging,2017-02-23,,,,
Newex,,,,,,,,,,GTX Basic,,,MVXB9PS5,Maureen Marcano,Lost,2017-02-23,2017-06-17,0.0,,
Bioholding,,,,,,,,,,GTX Basic,,,M2TZSYTN,Moses Frase,Won,2017-02-23,2017-06-16,516.0,,
Condax,,,,,,,,,,GTX Plus Basic,,,KGJL5GHX,Moses Frase,Won,2017-02-23,2017-06-06,956.0,,
Stanredtax,,,,,,,,,,MG Special,,,IF7DSONM,Moses Frase,Won,2017-02-23,2017-03-15,52.0,,
Toughzap,,,,,,,,,,MG Advanced,,,RR4FWSVB,Moses Frase,Won,2017-02-23,2017-05-11,3025.0,,
The New York Inquirer,,,,,,,,,,GTXPro,,,C5IWM5VJ,Reed Clapper,Won,2017-02-23,2017-06-10,5618.0,,
Umbrella Corporation,,,,,,,,,,GTXPro,,,9WZ3I1TF,Rosie Papadopoulos,Won,2017-02-23,2017-05-09,4867.0,,
